dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,107.077267,52.197180,124.365387,86.362770,29.987073,0.000000,0.953729
0.010000,107.575934,52.904127,125.230514,86.662641,29.987073,-0.000000,0.959197
0.010000,108.072459,53.616239,126.098640,86.962511,29.987073,0.000000,0.964621
0.010000,108.566832,54.333491,126.969765,87.262382,29.987073,0.000000,0.970000
0.010000,109.059044,55.055860,127.843888,87.562253,29.987073,0.000000,0.975335
0.010000,109.549087,55.783321,128.721010,87.862124,29.987073,0.000000,0.980624
0.010000,110.036955,56.515847,129.601130,88.161994,29.987073,0.000000,0.985866
0.010000,110.522643,57.253415,130.484250,88.461865,29.987073,0.000000,0.991062
0.010000,111.006145,57.995998,131.370368,88.761736,29.987073,-0.000000,0.996211
0.010000,111.487458,58.743570,132.259484,89.061606,29.987073,0.000000,1.001313
0.010000,111.966580,59.496106,133.151600,89.361477,29.987073,0.000000,1.006366
0.010000,112.443508,60.253580,134.046714,89.661348,29.987073,-0.000000,1.011371
0.010000,112.918244,61.015965,134.944827,89.961219,29.987073,-0.000000,1.016327
0.010000,113.390786,61.783236,135.845938,90.261089,29.987073,0.000000,1.021234
0.010000,113.861136,62.555366,136.750049,90.560960,29.987073,-0.000000,1.026092
0.010000,114.329298,63.332328,137.657157,90.860831,29.987073,0.000000,1.030899
0.010000,114.795273,64.114096,138.567265,91.160702,29.987073,0.000000,1.035657
0.010000,115.259067,64.900643,139.480372,91.460572,29.987073,0.000000,1.040364
0.010000,115.720685,65.691943,140.396477,91.760443,29.987073,0.000000,1.045021
0.010000,116.180132,66.487970,141.315580,92.060314,29.987073,0.000000,1.049626
0.010000,116.637415,67.288697,142.237683,92.360185,29.987073,-0.000000,1.054180
0.010000,117.092543,68.094097,143.162784,92.660055,29.987073,0.000000,1.058683
0.010000,117.545524,68.904144,144.090884,92.959926,29.987073,0.000000,1.063135
0.010000,117.996368,69.718812,145.021983,93.259797,29.987073,-0.000000,1.067534
0.010000,118.445085,70.538073,145.956080,93.559667,29.987073,-0.000000,1.071882
0.010000,118.891686,71.361903,146.893176,93.859538,29.987073,0.000000,1.076178
0.010000,119.336184,72.190274,147.833271,94.159409,29.987073,-0.000000,1.080421
0.010000,119.778591,73.023160,148.776364,94.459280,29.987073,0.000000,1.084612
0.010000,120.218921,73.860536,149.722456,94.759150,29.987073,0.000000,1.088751
0.010000,120.657188,74.702376,150.671547,95.059021,29.987073,0.000000,1.092837
0.010000,121.093408,75.548654,151.623637,95.358892,29.987073,0.000000,1.096871
0.010000,121.527596,76.399343,152.578725,95.658763,29.987073,0.000000,1.100852
0.010000,121.959769,77.254420,153.536812,95.958633,29.987073,-0.000000,1.104780
0.010000,122.389945,78.113857,154.497898,96.258504,29.987073,-0.000000,1.108656
0.010000,122.818142,78.977631,155.461982,96.558375,29.987073,0.000000,1.112478
0.010000,123.244378,79.845716,156.429065,96.858245,29.987073,-0.000000,1.116248
0.010000,123.668674,80.718087,157.399147,97.158116,29.987073,0.000000,1.119965
0.010000,124.091049,81.594719,158.372227,97.457987,29.987073,0.000000,1.123629
0.010000,124.511524,82.475588,159.348307,97.757858,29.987073,-0.000000,1.127240
0.010000,124.930121,83.360669,160.327385,98.057728,29.987073,0.000000,1.130798
0.010000,125.346862,84.249939,161.309461,98.357599,29.987073,0.000000,1.134303
0.010000,125.761771,85.143373,162.294537,98.657470,29.987073,0.000000,1.137755
0.010000,126.174869,86.040946,163.282611,98.957341,29.987073,-0.000000,1.141154
0.010000,126.586183,86.942637,164.273683,99.257211,29.987073,0.000000,1.144501
0.010000,126.995736,87.848420,165.267755,99.557082,29.987073,-0.000000,1.147795
0.010000,127.403554,88.758273,166.264825,99.856953,29.987073,0.000000,1.151036
0.010000,127.809663,89.672173,167.264894,100.156823,29.987073,0.000000,1.154224
0.010000,128.214089,90.590096,168.267961,100.456694,29.987073,0.000000,1.157359
0.010000,128.616860,91.512020,169.274028,100.756565,29.987073,0.000000,1.160442
0.010000,129.018004,92.437922,170.283093,101.056436,29.987073,0.000000,1.163472
0.010000,129.417549,93.367780,171.295157,101.356306,29.987073,0.000000,1.166449
0.010000,129.815524,94.301572,172.310219,101.656177,29.987073,-0.000000,1.169374
0.010000,130.211958,95.239276,173.328280,101.956048,29.987073,0.000000,1.172246
0.010000,130.606882,96.180869,174.349340,102.255919,29.987073,0.000000,1.175066
